Alkohol 70%;41000;ml;Lemari Depo I;cair;;;;;;;;
Alkohol 96%;21000;ml;Lemari Depo I;cair;;;;;;;;
Alkohol 98%;3;ml;Lemari Depo I;cair;;;;;;;;
Amil alkohol;1006;ml;Lemari Depo I;cair;;;;;;;;
Amoniak;3000;ml;Lemari Depo I;cair;;;;;;;;
Amonium cair;95;ml;Lemari Depo I;cair;;;;;;;;
Amonium hydroxide;4000;ml;Lemari Depo I;cair;;;;;;;;
Amonium oxalat;1500;ml;Lemari Depo I;cair;;;;;;;;
Anisi oil;1000;ml;Lemari Depo I;cair;;;;;;;;
Aqua pro injeksi;9;ml;Lemari Depo I;cair;;;;;;;;
Aquadest;0;ml;Lemari Depo I;cair;;;;;;;;
Asam Asetat 6%;250;ml;Lemari Depo I;cair;;;;;;;;
Asam asetat anhidrat;1000;ml;Lemari Depo I;cair;;;;;;;;
Asam asetat glasial;2700;ml;Lemari Depo I;cair;;;;;;;;
Asam asetik anhidrat;0;ml;Lemari Depo I;cair;;;;;;;;
Asam formic (CHOOH);0;ml;Lemari Depo I;cair;;;;;;;;
Asam fosfat;500;ml;Lemari Depo I;cair;;;;;;;;
Asam Nitrat;1000;ml;Lemari Depo I;cair;;;;;;;;
Asam Sitrat;1700;ml;Lemari Depo I;cair;;;;;;;;
Aseton p.a;2000;ml;Lemari Depo I;cair;;;;;;;;
Aseton teknis;100;ml;Lemari Depo I;cair;;;;;;;;
Benedict;1000;ml;Lemari Depo I;cair;;;;;;;;
Benzalkonium;2500;ml;Lemari Depo I;cair;;;;;;;;
Benzen;2500;ml;Lemari Depo I;cair;;;;;;;;
Ca(OH)2 40%;1000;ml;Lemari Depo I;cair;;;;;;;;
Citrate saline;300;ml;Lemari Depo I;cair;;;;;;;;
Diazo B;500;ml;Lemari Depo I;cair;;;;;;;;
Dietil eter;2000;ml;Lemari Depo I;cair;;;;;;;;
Dragendorff;150;ml;Lemari Depo I;cair;;;;;;;;
Eosin 2%;0;ml;Lemari Depo I;cair;;;;;;;;
Etanol 96%;4100;ml;Lemari Depo I;cair;;;;;;;;
Eter;5000;ml;Lemari Depo I;cair;;;;;;;;
Ethylene;500;ml;Lemari Depo I;cair;;;;;;;;
Etil asetat;12600;ml;Lemari Depo I;cair;;;;;;;;
Etil Eter;800;ml;Lemari Depo I;cair;;;;;;;;
Fehling A;1500;ml;Lemari Depo I;cair;;;;;;;;
Fehling B;1000;ml;Lemari Depo I;cair;;;;;;;;
Fenol;2000;ml;Lemari Depo I;cair;;;;;;;;
Formalin;6200;ml;Lemari Depo I;cair;;;;;;;;
Fuchsin;0;ml;Lemari Depo I;cair;;;;;;;;
Fuhsin;0;ml;Lemari Depo I;cair;;;;;;;;
Gentian violet;100;ml;Lemari Depo I;cair;;;;;;;;
Giemsa;0;ml;Lemari Depo I;cair;;;;;;;;
Gliserin;3500;ml;Lemari Depo I;cair;;;;;;;;
Gliserin/gliserol;20000;ml;Lemari Depo I;cair;;;;;;;;
H2SO4;7500;ml;Lemari Depo I;cair;;;;;;;;
HCl;1000;ml;Lemari Depo I;cair;;;;;;;;
Hemoglobin C;1000;ml;Lemari Depo I;cair;;;;;;;;
HNO3;4000;ml;Lemari Depo I;cair;;;;;;;;
I-Butanol;1000;ml;Lemari Depo I;cair;;;;;;;;
Isopropyl Myristate;4600;ml;Lemari Depo I;cair;;;;;;;;
Karbopol;1000;ml;Lemari Depo I;cair;;;;;;;;
Kloroform;2000;ml;Lemari Depo I;cair;;;;;;;;
Lactophenol cotton blue;0;ml;Lemari Depo I;cair;;;;;;;;
LB;0;ml;Lemari Depo I;cair;;;;;;;;
Lugol;500;ml;Lemari Depo I;cair;;;;;;;;
Malachite green oxalate;0;ml;Lemari Depo I;cair;;;;;;;;
Mayer;100;ml;Lemari Depo I;cair;;;;;;;;
Metanol p.a;6000;ml;Lemari Depo I;cair;;;;;;;;
Metanol teknis;7500;ml;Lemari Depo I;cair;;;;;;;;
Metil Etil Keton;1000;ml;Lemari Depo I;cair;;;;;;;;
Metil salisilat;3000;ml;Lemari Depo I;cair;;;;;;;;
N-Heksan;2500;ml;Lemari Depo I;cair;;;;;;;;
NaCl fis;1000;ml;Lemari Depo I;cair;;;;;;;;
